"","Código Departamento","Departamento","Municipio","1","2","3","4","5","6","7","8","9","10","11","12"
"5001",5,"ANTIOQUIA","MEDELLIN",0,0,3,0,0,0,0,0,1,0,0,1
"5002",5,"ANTIOQUIA","ABEJORRAL",0,1,0,0,0,0,0,0,1,0,0,0
"5004",5,"ANTIOQUIA","ABRIAQUI",1,0,1,0,0,0,0,0,0,0,0,1
"5021",5,"ANTIOQUIA","ALEJANDRIA",0,0,0,0,0,0,1,0,0,1,0,0
"5030",5,"ANTIOQUIA","AMAGA",0,0,0,0,0,0,0,1,0,0,0,0
"5031",5,"ANTIOQUIA","AMALFI",1,1,1,0,3,5,2,1,3,0,2,2
"5034",5,"ANTIOQUIA","ANDES",0,0,0,5,3,3,0,0,0,2,1,1
"5038",5,"ANTIOQUIA","ANGOSTURA",0,0,0,0,1,0,0,0,0,0,0,0
"5040",5,"ANTIOQUIA","ANORI",0,0,1,1,1,0,0,1,0,1,1,3
"5042",5,"ANTIOQUIA","ANTIOQUIA",0,0,1,0,0,0,0,1,0,0,0,0
"5044",5,"ANTIOQUIA","ANZA",0,0,1,0,0,0,0,0,0,0,0,0
"5045",5,"ANTIOQUIA","APARTADO",1,0,0,0,3,4,2,5,6,4,6,1
"5051",5,"ANTIOQUIA","ARBOLETES",1,0,1,1,0,4,3,3,2,1,3,2
"5055",5,"ANTIOQUIA","ARGELIA",0,0,1,0,1,0,1,0,0,0,1,0
"5079",5,"ANTIOQUIA","BARBOSA",1,0,0,0,0,0,0,0,0,0,0,0
"5088",5,"ANTIOQUIA","BELLO",0,0,0,0,0,0,0,1,0,0,0,0
"5091",5,"ANTIOQUIA","BETANIA",1,0,0,0,0,0,0,1,0,0,0,0
"5093",5,"ANTIOQUIA","BETULIA",0,0,2,1,0,1,0,0,0,3,0,2
"5101",5,"ANTIOQUIA","BOLIVAR",4,0,1,0,0,0,2,2,1,2,1,0
"5107",5,"ANTIOQUIA","BRICENO",0,0,1,0,1,0,0,1,1,1,1,0
"5113",5,"ANTIOQUIA","BURITICA",0,0,0,0,0,0,1,0,0,0,0,0
"5120",5,"ANTIOQUIA","CACERES",1,0,3,1,1,3,1,0,1,2,1,0
"5129",5,"ANTIOQUIA","CALDAS",0,1,0,1,0,0,0,0,0,0,0,0
"5134",5,"ANTIOQUIA","CAMPAMENTO",0,0,0,0,0,1,0,1,1,0,0,3
"5142",5,"ANTIOQUIA","CARACOLI",0,0,0,0,1,0,0,0,0,0,0,0
"5147",5,"ANTIOQUIA","CAREPA",0,1,2,0,3,1,1,2,1,0,0,2
"5150",5,"ANTIOQUIA","CAROLINA",0,0,0,1,0,0,0,0,0,0,1,0
"5154",5,"ANTIOQUIA","CAUCASIA",0,0,2,1,0,1,0,2,1,1,1,0
"5172",5,"ANTIOQUIA","CHIGORODO",0,3,3,3,2,1,3,0,1,0,0,2
"5190",5,"ANTIOQUIA","CISNEROS",1,0,0,0,0,0,0,0,0,0,0,0
"5197",5,"ANTIOQUIA","COCORNA",0,0,1,0,0,1,0,1,0,1,1,2
"5209",5,"ANTIOQUIA","CONCORDIA",0,2,1,0,0,2,0,0,0,1,0,1
"5212",5,"ANTIOQUIA","COPACABANA",0,0,0,0,0,0,0,0,0,0,0,1
"5234",5,"ANTIOQUIA","DABEIBA",1,1,0,1,1,1,1,1,2,0,0,1
"5240",5,"ANTIOQUIA","EBEJICO",0,0,0,1,2,0,0,1,0,0,0,0
"5250",5,"ANTIOQUIA","EL BAGRE",4,4,2,3,4,1,3,3,5,1,3,1
"5266",5,"ANTIOQUIA","ENVIGADO",0,0,0,0,0,0,0,0,0,0,0,1
"5284",5,"ANTIOQUIA","FRONTINO",2,2,2,1,0,2,1,1,0,1,0,1
"5308",5,"ANTIOQUIA","GIRARDOTA",0,0,0,0,0,0,0,0,0,0,0,1
"5310",5,"ANTIOQUIA","GOMEZ PLATA",0,0,2,0,1,0,0,0,0,0,0,1
"5315",5,"ANTIOQUIA","GUADALUPE",0,0,0,1,0,0,0,0,0,0,0,0
"5347",5,"ANTIOQUIA","HELICONIA",0,1,1,1,0,0,0,0,0,0,0,0
"5361",5,"ANTIOQUIA","ITUANGO",0,0,0,0,0,1,0,0,1,1,1,0
"5364",5,"ANTIOQUIA","JARDIN",0,0,0,0,0,0,1,0,0,1,0,0
"5380",5,"ANTIOQUIA","LA ESTRELLA",1,0,0,0,0,0,0,0,0,0,0,0
"5425",5,"ANTIOQUIA","MACEO",0,0,0,0,0,0,0,1,2,1,2,2
"5467",5,"ANTIOQUIA","MONTEBELLO",0,0,0,0,0,0,0,0,0,0,0,1
"5475",5,"ANTIOQUIA","MURINDO",2,0,6,3,1,1,0,1,1,1,0,1
"5480",5,"ANTIOQUIA","MUTATA",3,2,3,2,1,3,4,0,2,2,0,0
"5483",5,"ANTIOQUIA","NARIÃ‘O",1,0,1,0,1,0,0,0,0,0,0,0
"5490",5,"ANTIOQUIA","NECOCLI",2,2,3,8,5,4,4,6,8,4,3,4
"5495",5,"ANTIOQUIA","NECHI",1,3,3,3,3,1,1,1,0,3,4,0
"5576",5,"ANTIOQUIA","PUEBLORRICO",1,0,0,0,0,0,0,0,0,0,0,0
"5579",5,"ANTIOQUIA","PUERTO BERRIO",1,0,3,0,2,1,4,0,0,2,0,2
"5585",5,"ANTIOQUIA","PUERTO NARE (LA MAGDALENA )",0,0,1,0,0,1,0,0,0,0,1,0
"5591",5,"ANTIOQUIA","PUERTO TRIUNFO",0,0,2,1,0,0,2,0,0,1,0,2
"5604",5,"ANTIOQUIA","REMEDIOS",1,1,0,0,2,1,4,1,1,1,0,3
"5607",5,"ANTIOQUIA","RETIRO",0,0,0,0,0,0,0,0,0,0,1,0
"5615",5,"ANTIOQUIA","RIONEGRO",0,0,0,0,0,0,0,1,0,0,0,0
"5628",5,"ANTIOQUIA","SABANALARGA",0,1,0,0,0,0,0,1,0,0,0,0
"5631",5,"ANTIOQUIA","SABANETA",0,0,1,0,0,0,0,0,0,0,0,0
"5642",5,"ANTIOQUIA","SALGAR",2,0,0,2,0,0,0,0,0,0,0,1
"5649",5,"ANTIOQUIA","SAN CARLOS",2,0,0,2,0,1,0,0,2,0,2,1
"5652",5,"ANTIOQUIA","SAN FRANCISCO",0,0,1,2,0,0,0,0,0,0,0,0
"5656",5,"ANTIOQUIA","SAN JERONIMO",0,1,0,0,0,0,0,0,0,0,0,0
"5659",5,"ANTIOQUIA","SAN JUAN DE URABA",0,1,1,0,0,1,2,4,2,1,3,1
"5660",5,"ANTIOQUIA","SAN LUIS",3,1,0,0,1,1,1,2,0,1,1,1
"5665",5,"ANTIOQUIA","SAN PEDRO DE URABA",1,0,1,2,3,4,1,2,3,3,1,0
"5667",5,"ANTIOQUIA","SAN RAFAEL",1,2,2,0,1,0,0,1,1,0,1,2
"5670",5,"ANTIOQUIA","SAN ROQUE",5,1,3,3,0,1,0,1,0,1,0,1
"5679",5,"ANTIOQUIA","SANTA BARBARA",1,0,0,0,0,0,0,0,0,0,0,0
"5686",5,"ANTIOQUIA","SANTA ROSA DE OSOS",0,0,0,0,0,1,0,0,1,0,2,1
"5690",5,"ANTIOQUIA","SANTO DOMINGO",0,1,1,0,1,0,0,0,0,0,0,1
"5736",5,"ANTIOQUIA","SEGOVIA",0,0,2,1,2,0,0,2,1,2,1,0
"5756",5,"ANTIOQUIA","SONSON",0,0,0,0,0,0,0,1,0,0,0,0
"5761",5,"ANTIOQUIA","SOPETRAN",0,1,0,0,0,0,0,0,1,0,0,0
"5790",5,"ANTIOQUIA","TARAZA",1,1,2,0,3,1,0,2,1,3,3,1
"5837",5,"ANTIOQUIA","TURBO",4,5,2,4,3,12,6,6,1,5,4,5
"5842",5,"ANTIOQUIA","URAMITA",0,0,1,0,0,0,0,0,0,0,0,0
"5847",5,"ANTIOQUIA","URRAO",1,1,3,1,0,0,1,0,1,0,0,1
"5854",5,"ANTIOQUIA","VALDIVIA",2,3,3,1,2,5,2,4,2,1,3,4
"5858",5,"ANTIOQUIA","VEGACHI",0,0,0,0,1,1,0,0,1,2,1,0
"5861",5,"ANTIOQUIA","VENECIA",0,0,0,0,0,0,0,0,0,0,1,0
"5873",5,"ANTIOQUIA","VIGIA DEL FUERTE",0,0,2,0,0,1,0,1,1,0,0,0
"5885",5,"ANTIOQUIA","YALI",2,0,0,0,0,0,1,0,0,1,0,0
"5887",5,"ANTIOQUIA","YARUMAL",2,1,1,0,2,1,0,0,0,0,0,1
"5890",5,"ANTIOQUIA","YOLOMBO",6,1,0,1,1,1,1,0,0,0,6,2
"5893",5,"ANTIOQUIA","YONDO (CASABE)",0,0,0,1,1,1,0,1,2,1,0,2
"5895",5,"ANTIOQUIA","ZARAGOZA",1,0,1,2,4,1,1,0,1,1,3,2
"8001",8,"ATLANTICO","BARRANQUILLA",0,0,2,0,0,3,4,0,0,2,0,2
"8078",8,"ATLANTICO","BARANOA",0,0,0,0,2,0,3,2,0,0,5,2
"8137",8,"ATLANTICO","CAMPO DE LA CRUZ",0,0,0,0,0,1,0,0,2,0,0,0
"8141",8,"ATLANTICO","CANDELARIA",0,0,0,0,0,1,0,1,0,0,0,0
"8296",8,"ATLANTICO","GALAPA",2,0,0,0,1,0,0,3,1,1,4,2
"8421",8,"ATLANTICO","LURUACO",1,0,0,0,0,0,0,1,0,0,0,0
"8433",8,"ATLANTICO","MALAMBO",2,1,0,2,0,0,2,1,2,0,1,0
"8436",8,"ATLANTICO","MANATI",2,0,0,0,1,0,0,0,0,0,2,1
"8520",8,"ATLANTICO","PALMAR DE VARELA",1,0,1,0,0,1,4,1,1,0,0,2
"8549",8,"ATLANTICO","PIOJO",0,0,1,0,0,0,0,0,1,0,1,0
"8558",8,"ATLANTICO","POLO NUEVO",0,0,2,0,0,0,0,1,0,0,0,0
"8560",8,"ATLANTICO","PONEDERA",0,1,1,1,1,0,2,1,0,0,0,0
"8573",8,"ATLANTICO","PUERTO COLOMBIA",0,0,2,0,0,0,0,1,0,2,0,1
"8606",8,"ATLANTICO","REPELON",0,1,2,0,1,1,0,0,0,0,0,0
"8634",8,"ATLANTICO","SABANAGRANDE",0,0,1,0,1,0,0,0,0,0,0,0
"8638",8,"ATLANTICO","SABANALARGA",2,0,1,2,4,5,1,4,0,1,4,1
"8685",8,"ATLANTICO","SANTO TOMAS",0,1,0,0,0,1,0,5,1,0,0,0
"8758",8,"ATLANTICO","SOLEDAD",0,0,1,1,0,2,0,0,0,0,0,1
"8832",8,"ATLANTICO","TUBARA",0,0,2,1,0,1,0,0,0,1,3,1
"8849",8,"ATLANTICO","USIACURI",1,0,0,0,1,1,2,0,0,1,2,0
"11001",11,"BOGOTA","BOGOTA",1,1,0,0,0,0,0,0,0,0,0,0
"13001",13,"BOLIVAR","CARTAGENA",0,1,2,0,2,3,2,5,2,3,5,4
"13006",13,"BOLIVAR","ACHI",1,1,0,0,1,1,0,0,0,0,1,0
"13030",13,"BOLIVAR","ALTOS DEL ROSARIO",1,0,1,0,0,1,0,0,1,0,0,0
"13042",13,"BOLIVAR","ARENAL",1,1,2,1,0,0,0,1,0,0,2,1
"13052",13,"BOLIVAR","ARJONA",3,1,2,0,0,3,0,4,3,1,2,0
"13074",13,"BOLIVAR","BARRANCO DE LOBA",1,0,0,0,0,1,1,1,1,1,0,1
"13140",13,"BOLIVAR","CALAMAR",0,0,0,0,0,0,0,0,0,0,2,0
"13160",13,"BOLIVAR","CANTAGALLO",0,1,1,0,0,2,0,0,0,0,0,2
"13188",13,"BOLIVAR","CICUCO",0,0,0,0,0,0,0,1,0,0,0,0
"13222",13,"BOLIVAR","CLEMENCIA",1,0,1,2,1,1,2,0,2,0,0,0
"13244",13,"BOLIVAR","EL CARMEN DE BOLIVAR",0,0,4,1,3,6,2,6,3,2,2,4
"13248",13,"BOLIVAR","EL GUAMO",0,0,0,0,2,0,0,0,0,0,2,1
"13268",13,"BOLIVAR","EL PEÃ‘ON",0,0,0,0,0,0,0,0,0,0,0,1
"13300",13,"BOLIVAR","HATILLO DE LOBA",0,0,0,0,0,0,0,0,0,2,0,0
"13430",13,"BOLIVAR","MAGANGUE",2,0,1,0,2,7,0,1,1,1,2,2
"13433",13,"BOLIVAR","MAHATES",0,0,1,1,1,0,0,0,1,0,0,1
"13440",13,"BOLIVAR","MARGARITA",0,0,0,0,0,1,0,0,0,0,0,0
"13442",13,"BOLIVAR","MARIA LA BAJA",0,0,1,1,0,0,1,2,1,1,1,1
"13458",13,"BOLIVAR","MONTECRISTO",1,1,1,0,1,0,1,1,2,0,0,0
"13468",13,"BOLIVAR","MOMPOS",2,0,0,0,0,1,0,3,0,0,2,2
"13473",13,"BOLIVAR","MORALES",0,0,0,0,0,1,0,0,0,1,1,0
"13490",13,"BOLIVAR","NOROSÃŒ",0,1,0,0,0,1,0,2,0,2,0,0
"13580",13,"BOLIVAR","REGIDOR",1,0,0,0,0,0,0,0,0,0,1,0
"13600",13,"BOLIVAR","RIO VIEJO",0,0,0,1,0,0,0,0,1,1,2,0
"13620",13,"BOLIVAR","SAN CRISTOBAL",0,0,0,0,0,1,0,0,0,2,4,3
"13647",13,"BOLIVAR","SAN ESTANISLAO",1,0,0,1,1,0,0,1,2,3,1,0
"13650",13,"BOLIVAR","SAN FERNANDO",0,0,0,0,0,0,0,0,1,0,1,0
"13654",13,"BOLIVAR","SAN JACINTO",2,0,2,0,5,1,1,2,0,1,0,2
"13655",13,"BOLIVAR","SAN JACINTO DEL CAUCA",0,0,1,0,0,0,0,0,1,0,0,0
"13657",13,"BOLIVAR","SAN JUAN NEPOMUCENO",1,0,0,0,0,7,0,3,2,1,3,0
"13667",13,"BOLIVAR","SAN MARTIN DE LOBA",1,0,0,0,0,0,1,2,0,2,1,1
"13670",13,"BOLIVAR","SAN PABLO",1,1,0,1,1,0,0,0,0,3,2,0
"13673",13,"BOLIVAR","SANTA CATALINA",0,1,2,0,0,0,0,0,0,0,0,0
"13683",13,"BOLIVAR","SANTA ROSA",1,0,0,0,0,0,0,0,0,1,3,0
"13688",13,"BOLIVAR","SANTA ROSA DEL SUR",1,0,3,2,5,1,2,5,3,5,5,0
"13744",13,"BOLIVAR","SIMITI",0,1,0,0,0,0,1,0,0,0,1,0
"13760",13,"BOLIVAR","SOPLAVIENTO",0,0,0,0,1,1,0,1,0,0,0,0
"13780",13,"BOLIVAR","TALAIGUA NUEVO",0,0,0,1,0,3,0,0,0,0,0,0
"13810",13,"BOLIVAR","TIQUISIO (PUERTO RICO)",1,1,1,0,4,2,2,2,2,0,0,0
"13836",13,"BOLIVAR","TURBACO",0,2,1,1,0,1,1,1,0,0,0,0
"13838",13,"BOLIVAR","TURBANA",1,1,1,1,0,0,1,0,0,0,0,0
"13873",13,"BOLIVAR","VILLANUEVA",0,0,1,0,1,2,0,1,1,0,0,1
"13894",13,"BOLIVAR","ZAMBRANO",1,0,1,0,0,0,0,0,0,0,1,2
"15109",15,"BOYACA","BUENAVISTA",0,0,1,0,1,0,0,0,0,0,0,0
"15135",15,"BOYACA","CAMPOHERMOSO",0,0,0,0,0,0,2,0,0,0,0,0
"15183",15,"BOYACA","CHITA",0,1,0,0,0,0,0,0,0,0,0,0
"15223",15,"BOYACA","CUBARA",1,2,2,1,3,6,1,2,2,1,2,3
"15238",15,"BOYACA","DUITAMA",0,0,0,0,0,0,0,0,1,0,0,0
"15322",15,"BOYACA","GUATEQUE",0,0,0,1,0,0,0,0,0,0,0,0
"15377",15,"BOYACA","LABRANZAGRANDE",1,0,0,0,0,1,2,0,0,0,0,0
"15442",15,"BOYACA","MARIPI",0,1,0,0,0,0,0,0,0,1,0,1
"15480",15,"BOYACA","MUZO",0,0,0,0,0,0,0,0,0,0,0,1
"15507",15,"BOYACA","OTANCHE",0,0,0,1,0,0,0,0,0,0,0,0
"15514",15,"BOYACA","PAEZ",0,0,0,0,1,0,0,0,1,0,0,0
"15518",15,"BOYACA","PAJARITO",0,0,0,0,0,1,0,0,0,0,0,0
"15572",15,"BOYACA","PUERTO BOYACA",1,0,1,0,1,1,0,0,2,1,0,0
"15580",15,"BOYACA","QUIPAMA",0,0,0,0,0,0,0,0,0,0,1,0
"15660",15,"BOYACA","SAN EDUARDO",1,0,0,0,0,0,0,0,0,0,0,0
"15667",15,"BOYACA","SAN LUIS DE GACENO",1,0,0,0,0,1,0,0,0,0,0,0
"15690",15,"BOYACA","SANTA MARIA",0,0,0,0,0,1,0,0,0,0,0,0
"15755",15,"BOYACA","SOCOTA",0,0,0,0,1,0,0,0,0,0,0,0
"15804",15,"BOYACA","TIBANA",0,0,0,0,0,0,0,1,0,0,0,0
"15842",15,"BOYACA","UMBITA",0,0,0,1,0,0,0,0,0,0,0,0
"15897",15,"BOYACA","ZETAQUIRA",0,0,0,0,0,1,0,1,0,0,0,0
"17001",17,"CALDAS","MANIZALES",0,0,0,0,0,0,0,0,0,1,0,0
"17013",17,"CALDAS","AGUADAS",0,0,0,0,0,1,0,0,0,0,0,1
"17042",17,"CALDAS","ANSERMA",0,0,0,0,1,0,0,0,0,0,1,0
"17174",17,"CALDAS","CHINCHINA",0,0,0,0,1,1,1,0,0,1,0,0
"17272",17,"CALDAS","FILADELFIA",0,0,0,0,0,0,0,0,0,1,0,0
"17380",17,"CALDAS","LA DORADA",2,0,0,2,0,0,0,0,0,1,1,0
"17433",17,"CALDAS","MANZANARES",1,0,1,0,0,0,0,0,1,0,1,0
"17444",17,"CALDAS","MARQUETALIA",0,0,0,0,0,0,0,0,1,2,1,0
"17446",17,"CALDAS","MARULANDA",0,0,0,0,1,0,0,0,0,0,0,0
"17486",17,"CALDAS","NEIRA",0,0,0,0,0,0,0,0,0,0,1,0
"17495",17,"CALDAS","NORCASIA",0,0,0,0,0,0,0,0,0,1,0,1
"17513",17,"CALDAS","PACORA",0,0,0,0,0,1,0,0,0,0,0,0
"17524",17,"CALDAS","PALESTINA",0,0,0,1,0,0,0,0,0,0,0,0
"17541",17,"CALDAS","PENSILVANIA",0,1,1,0,0,0,0,1,1,1,0,0
"17614",17,"CALDAS","RIOSUCIO",0,1,0,0,0,1,0,0,0,0,0,1
"17662",17,"CALDAS","SAMANA",0,1,0,3,2,1,2,0,4,3,4,1
"17665",17,"CALDAS","SAN JOSE",0,0,0,0,0,0,0,0,0,0,0,2
"17777",17,"CALDAS","SUPIA",0,0,0,0,0,1,0,0,0,1,1,0
"17867",17,"CALDAS","VICTORIA",0,1,0,1,0,0,0,0,0,0,0,0
"18001",18,"CAQUETA","FLORENCIA",0,1,2,1,2,1,3,2,0,0,0,2
"18029",18,"CAQUETA","ALBANIA",1,0,0,2,0,0,0,0,0,0,0,0
"18094",18,"CAQUETA","BELEN DE LOS ANDAQUIES",0,0,1,1,2,0,0,0,2,0,0,0
"18150",18,"CAQUETA","CARTAGENA DEL CHAIRA",3,2,5,3,1,0,4,2,2,2,1,1
"18205",18,"CAQUETA","CURILLO",0,1,2,0,0,0,0,1,0,0,0,1
"18247",18,"CAQUETA","EL DONCELLO",0,0,0,1,0,2,0,0,0,0,0,0
"18256",18,"CAQUETA","EL PAUJIL",1,0,2,1,1,1,1,1,0,1,1,0
"18410",18,"CAQUETA","LA MONTANITA",0,0,2,2,1,0,0,1,0,0,0,0
"18460",18,"CAQUETA","MILAN",1,0,4,0,1,0,1,0,0,0,0,0
"18592",18,"CAQUETA","PUERTO RICO",1,1,1,3,0,1,1,1,1,1,1,1
"18610",18,"CAQUETA","SAN JOSE DEL FRAGUA",0,1,2,0,0,1,0,0,0,1,0,0
"18753",18,"CAQUETA","SAN VICENTE DEL CAGUAN",6,6,9,2,10,3,5,7,2,2,6,1
"18785",18,"CAQUETA","SOLITA",1,1,0,0,0,0,0,0,0,0,0,0
"18860",18,"CAQUETA","VALPARAISO",1,1,0,0,0,1,0,0,0,1,0,0
"19001",19,"CAUCA","POPAYAN",1,3,0,0,1,2,1,1,0,0,1,0
"19022",19,"CAUCA","ALMAGUER",1,0,1,0,0,0,0,0,0,0,0,0
"19050",19,"CAUCA","ARGELIA",0,0,0,0,0,0,1,0,0,0,0,0
"19075",19,"CAUCA","BALBOA",0,0,1,0,0,0,0,0,0,0,1,1
"19100",19,"CAUCA","BOLIVAR",0,2,2,0,2,1,0,1,0,0,1,2
"19110",19,"CAUCA","BUENOS AIRES",0,0,0,0,0,0,0,0,1,1,0,0
"19130",19,"CAUCA","CAJIBIO",0,0,0,0,1,0,0,0,1,1,0,1
"19137",19,"CAUCA","CALDONO",0,0,1,0,0,0,0,1,0,0,1,0
"19142",19,"CAUCA","CALOTO",0,0,0,0,0,0,0,1,0,0,0,0
"19212",19,"CAUCA","CORINTO",0,0,0,0,0,0,1,0,0,0,0,0
"19256",19,"CAUCA","EL TAMBO",2,2,1,1,1,1,1,0,0,1,4,2
"19318",19,"CAUCA","GUAPI",0,0,0,0,0,1,0,0,0,1,0,0
"19355",19,"CAUCA","INZA",0,0,0,0,0,0,0,1,1,0,0,0
"19364",19,"CAUCA","JAMBALO",0,0,0,0,1,0,0,0,0,0,0,0
"19392",19,"CAUCA","LA SIERRA",1,1,0,0,0,0,0,0,1,0,0,0
"19397",19,"CAUCA","LA VEGA",1,1,1,0,0,1,0,1,0,0,0,0
"19418",19,"CAUCA","LOPEZ (MICAY)",0,0,1,0,1,0,1,0,0,1,1,2
"19450",19,"CAUCA","MERCADERES",1,1,1,0,0,0,1,0,0,0,0,2
"19455",19,"CAUCA","MIRANDA",1,0,1,0,0,0,0,1,0,1,0,0
"19473",19,"CAUCA","MORALES",0,1,0,0,0,0,0,0,0,0,1,2
"19517",19,"CAUCA","PAEZ",0,0,0,0,0,0,0,0,1,0,0,0
"19532",19,"CAUCA","PATIA (EL BORDO)",0,1,0,2,0,1,0,0,1,0,1,0
"19533",19,"CAUCA","PIAMONTE",1,1,1,2,1,1,0,0,1,0,0,0
"19548",19,"CAUCA","PIENDAMO",0,0,1,1,1,0,1,0,0,0,1,1
"19622",19,"CAUCA","ROSAS",0,0,0,1,0,0,0,0,0,0,1,0
"19698",19,"CAUCA","SANTANDER DE QUILICHAO",0,0,2,0,2,0,1,2,0,0,0,1
"19701",19,"CAUCA","SANTA ROSA",0,0,0,0,0,0,0,0,0,0,0,1
"19780",19,"CAUCA","SUAREZ",0,0,0,0,0,1,0,0,0,0,0,0
"19785",19,"CAUCA","SUCRE",0,0,0,0,1,0,0,0,0,0,0,0
"19807",19,"CAUCA","TIMBIO",3,0,0,2,1,1,0,1,0,0,0,0
"19809",19,"CAUCA","TIMBIQUI",0,0,1,0,0,1,2,0,1,0,2,2
"19821",19,"CAUCA","TORIBIO",0,0,1,0,0,0,0,0,0,0,0,1
"19824",19,"CAUCA","TOTORO",0,0,0,0,0,1,0,0,1,0,0,0
"20001",20,"CESAR","VALLEDUPAR",2,3,1,1,2,4,5,2,3,6,3,4
"20011",20,"CESAR","AGUACHICA",1,1,4,5,6,5,2,3,5,2,4,2
