,DIVIPOLA,CLUSTER,RATIONAL_POLICY
0,05002,26,0
1,05004,28,0
2,50006,6,0
3,27006,18,0
4,41006,10,0
5,13006,5,0
6,41013,10,0
7,25001,7,1
8,20011,16,0
9,17013,26,0
10,85010,20,0
11,20013,19,0
12,18029,22,0
13,44035,19,0
14,52019,4,1
15,05021,28,0
16,47030,3,0
17,41020,10,0
18,19022,24,0
19,73024,10,0
20,41026,10,0
21,27025,12,1
22,13030,16,0
23,73026,7,1
24,05030,28,0
25,05031,5,0
26,73030,7,1
27,25035,7,1
28,52036,4,1
29,76036,2,0
30,05034,28,0
31,05038,28,0
32,25040,7,1
33,05040,5,0
34,17042,2,0
35,76041,2,0
36,73043,2,0
37,05044,28,0
38,05045,18,0
39,25599,7,1
40,66045,2,0
41,47053,3,0
42,81001,14,0
43,81065,14,0
44,25053,7,1
45,54051,9,1
46,05051,18,0
47,13042,16,0
48,05055,26,0
49,19050,24,0
50,76054,2,0
51,47058,3,0
52,13052,15,0
53,63001,2,0
54,73055,26,0
55,20032,16,0
56,73067,25,1
57,27050,12,1
58,23068,5,0
59,27073,12,1
60,27075,23,1
61,27077,12,1
62,19075,24,0
63,66075,2,0
64,08078,15,0
65,52079,4,1
66,05079,28,0
67,68077,17,1
68,50110,20,0
69,68081,31,0
70,44078,19,0
71,13074,16,0
72,08001,15,0
73,20045,19,0
74,05088,28,0
75,25086,7,1
76,27086,18,0
77,66088,2,0
78,18094,22,0
79,05091,28,0
80,05093,28,0
81,68092,31,0
82,54099,9,1
83,11001,20,0
84,27099,23,1
85,05101,28,0
86,19100,24,0
87,68101,17,1
88,76100,2,0
89,20060,3,0
90,05107,5,0
91,68001,31,0
92,54109,9,1
93,76109,25,1
94,15109,17,1
95,23079,11,0
96,70110,11,0
97,19110,24,0
98,52110,4,1
99,76111,2,0
100,76113,2,0
101,05113,28,0
102,50124,20,0
103,70124,5,0
104,73124,2,0
105,19130,24,0
106,13140,15,0
107,95015,27,1
108,63130,2,0
109,05129,28,0
110,19137,24,0
111,76126,25,1
112,19142,24,0
113,76001,24,0
114,05134,5,0
115,08137,15,0
116,41132,10,0
117,15135,20,0
118,23090,11,0
119,08141,15,0
120,13160,31,0
121,27135,12,1
122,25148,17,1
123,05142,28,0
124,05147,18,0
125,73148,7,1
126,27150,23,1
127,05150,28,0
128,13001,15,0
129,18150,22,0
130,97161,8,1
131,73152,26,0
132,50150,6,0
133,05154,5,0
134,23162,11,0
135,47161,15,0
136,25168,7,1
137,70230,11,0
138,73168,2,0
139,05172,18,0
140,20175,16,0
141,23168,11,0
142,17174,2,0
143,54172,9,1
144,23182,11,0
145,25178,20,0
146,20178,19,0
147,15183,14,0
148,47170,3,0
149,25181,20,0
150,85015,20,0
151,13188,16,0
152,68190,17,1
153,63190,2,0
154,05190,28,0
155,47189,3,0
156,23189,11,0
157,13222,15,0
158,05197,28,0
159,73200,7,1
160,70204,11,0
161,05209,28,0
162,47205,3,0
163,27205,12,1
164,68209,1,1
165,54206,9,1
166,05212,28,0
167,63212,2,0
168,19212,24,0
169,68217,1,1
170,70215,11,0
171,23300,11,0
172,70221,11,0
173,73217,7,1
174,81220,14,0
175,50223,6,0
176,15223,9,1
177,50226,20,0
178,99773,30,1
179,73226,7,1
180,18205,22,0
181,68229,1,1
182,20228,9,1
183,05120,5,0
184,54128,16,0
185,25151,20,0
186,27160,12,1
187,54001,9,1
188,05234,23,1
189,76233,25,1
190,44090,3,0
191,44098,19,0
192,73236,7,1
193,66170,2,0
194,15238,14,0
195,54239,9,1
196,05240,28,0
197,05250,5,0
198,47245,16,0
199,76246,2,0
200,54245,9,1
201,68235,31,0
202,13244,11,0
203,50251,6,0
204,76248,25,1
205,52250,29,1
206,20238,3,0
207,18247,22,0
208,50270,27,1
209,68245,1,1
210,13248,15,0
211,44110,19,0
212,20250,19,0
213,18256,22,0
214,52254,4,1
215,13268,16,0
216,47258,3,0
217,68255,31,0
218,95025,27,1
219,47268,3,0
220,70233,11,0
221,52256,4,1
222,19256,24,0
223,52260,4,1
224,54250,9,1
225,54261,9,1
226,76243,2,0
227,41244,10,0
228,68266,1,1
229,05266,28,0
230,73268,7,1
231,25269,7,1
232,73270,26,0
233,17272,2,0
234,73275,7,1
235,18001,22,0
236,76275,24,0
237,68276,31,0
238,68271,17,1
239,44279,19,0
240,81300,9,1
241,52520,29,1
242,73283,26,0
243,05284,23,1
244,50287,6,0
245,47288,3,0
246,52287,4,1
247,25290,7,1
248,25279,20,0
249,25293,20,0
250,08296,15,0
251,70235,11,0
252,68296,31,0
253,25299,20,0
254,20295,16,0
255,41298,10,0
256,41306,10,0
257,76306,25,1
258,25307,7,1
259,05308,28,0
260,20310,16,0
261,54313,9,1
262,50313,6,0
263,76318,25,1
264,52699,4,1
265,05315,28,0
266,41319,10,0
267,68320,1,1
268,25320,26,0
269,47318,16,0
270,50318,6,0
271,73319,7,1
272,68322,1,1
273,19318,4,1
274,70265,5,0
275,25324,7,1
276,15322,20,0
277,25328,7,1
278,25335,6,0
279,66318,2,0
280,05310,28,0
281,54344,9,1
282,13300,16,0
283,68344,1,1
284,85125,14,0
285,44378,19,0
286,05347,28,0
287,73347,26,0
288,41349,10,0
289,73349,26,0
290,73001,2,0
291,73352,7,1
292,19355,22,0
293,94001,21,1
294,52356,4,1
295,27361,12,1
296,05361,23,1
297,19364,24,0
298,76364,24,0
299,05364,26,0
300,25368,7,1
301,27372,23,1
302,68377,17,1
303,66383,2,0
304,52378,4,1
305,17380,17,1
306,54385,9,1
307,05380,28,0
308,20383,16,0
309,20400,19,0
310,44420,19,0
311,52385,4,1
312,50350,6,0
313,25386,7,1
314,18410,22,0
315,68397,1,1
316,20621,19,0
317,41396,22,0
318,54398,9,1
319,99524,30,1
320,19392,24,0
321,63401,2,0
322,52390,29,1
323,52399,4,1
324,19397,24,0
325,25402,7,1
326,17867,2,0
327,66400,2,0
328,15377,20,0
329,68385,1,1
330,68406,31,0
331,52405,24,0
332,50400,6,0
333,91001,13,1
334,52411,4,1
335,27413,12,1
336,23417,11,0
337,23419,11,0
338,70418,11,0
339,54405,9,1
340,68418,31,0
341,54418,9,1
342,08421,15,0
343,73408,26,0
344,73411,26,0
345,19418,24,0
346,05425,28,0
347,13430,16,0
348,52427,4,1
349,13433,15,0
350,44430,19,0
351,70429,5,0
352,08433,15,0
353,08436,15,0
354,44560,19,0
355,20443,19,0
356,17001,2,0
357,17433,26,0
358,85139,20,0
359,50325,27,1
360,13440,16,0
361,15442,17,1
362,73443,26,0
363,17444,26,0
364,17446,26,0
365,13442,15,0
366,68444,31,0
367,05001,28,0
368,25438,20,0
369,27450,12,1
370,73449,7,1
371,19450,4,1
372,50330,6,0
373,18460,22,0
374,95200,6,0
375,19455,24,0
376,66456,2,0
377,97001,8,1
378,86001,4,1
379,23464,11,0
380,13468,16,0
381,05467,28,0
382,13458,5,0
383,23466,5,0
384,63470,2,0
385,23001,11,0
386,85162,20,0
387,13473,16,0
388,19473,24,0
389,70473,11,0
390,52473,29,1
391,23500,18,0
392,05475,23,1
393,05480,23,1
394,15480,17,1
395,05483,26,0
396,73483,7,1
397,05495,5,0
398,05490,18,0
399,17486,2,0
400,41001,10,0
401,25488,7,1
402,17495,26,0
403,13490,16,0
404,27491,12,1
405,47460,3,0
406,85225,14,0
407,27495,23,1
408,76497,2,0
409,54498,16,0
410,68500,1,1
411,52490,4,1
412,68502,14,0
413,41503,10,0
414,86320,4,1
415,85230,30,1
416,73504,7,1
417,15507,17,1
418,70508,11,0
419,20517,16,0
420,25518,17,1
421,15518,20,0
422,41524,10,0
423,17524,2,0
424,41530,10,0
425,08520,15,0
426,68524,1,1
427,76520,25,1
428,70523,11,0
429,54520,9,1
430,25530,20,0
431,19532,24,0
432,85250,14,0
433,20550,16,0
434,17541,26,0
435,66001,2,0
436,19533,5,0
437,68547,17,1
438,19548,24,0
439,63548,2,0
440,47545,16,0
441,08549,15,0
442,41548,10,0
443,41551,10,0
444,47551,3,0
445,73555,25,1
446,23555,5,0
447,47555,3,0
448,52540,4,1
449,08558,15,0
450,08560,15,0
451,19001,25,1
452,85263,14,0
453,73563,7,1
454,20570,3,0
455,23570,5,0
456,66572,12,1
457,05576,28,0
458,86568,4,1
459,05579,28,0
460,15572,17,1
461,86569,4,1
462,99001,21,1
463,08573,15,0
464,50450,27,1
465,23574,11,0
466,50568,30,1
467,86571,4,1
468,86573,22,0
469,23580,7,1
470,50577,27,1
471,50573,20,0
472,05585,28,0
473,91540,13,1
474,68573,28,0
475,18592,22,0
476,50590,6,0
477,81591,14,0
478,25572,17,1
479,54553,9,1
480,05591,17,1
481,68575,31,0
482,25580,7,1
483,73585,7,1
484,23586,11,0
485,17513,26,0
486,15514,20,0
487,19517,20,0
488,68533,1,1
489,25592,7,1
490,25594,6,0
491,27001,12,1
492,63594,2,0
493,66594,2,0
494,15580,17,1
495,54599,9,1
496,85279,20,0
497,13580,16,0
498,05604,5,0
499,08606,15,0
500,50606,6,0
501,76606,25,1
502,05607,28,0
503,52612,4,1
504,68615,31,0
505,73616,25,1
506,44001,19,0
507,41615,10,0
508,73622,2,0
509,19622,24,0
510,73624,2,0
511,27580,12,1
512,27600,12,1
513,17614,26,0
514,13600,16,0
515,20614,16,0
516,05615,28,0
517,27615,18,0
518,68655,31,0
519,08634,15,0
520,05628,28,0
521,08638,15,0
522,85300,20,0
523,47660,3,0
524,05631,28,0
525,23660,11,0
526,41660,10,0
527,47675,15,0
528,54660,9,1
529,05642,28,0
530,52678,4,1
531,17662,26,0
532,70670,11,0
533,41668,10,0
534,20710,31,0
535,23670,11,0
536,23672,11,0
537,73675,2,0
538,70678,5,0
539,23675,11,0
540,54670,9,1
541,05649,28,0
542,23678,11,0
543,50680,6,0
544,54673,9,1
545,13620,15,0
546,20750,19,0
547,15660,20,0
548,13647,15,0
549,13650,16,0
550,05652,28,0
551,68679,1,1
552,13654,11,0
553,13655,11,0
554,05656,28,0
555,17665,2,0
556,23682,5,0
557,18610,22,0
558,95001,27,1
559,27660,2,0
560,50683,6,0
561,70702,11,0
562,13657,15,0
563,25662,7,1
564,05659,18,0
565,44650,19,0
566,52687,4,1
567,73678,7,1
568,05660,28,0
569,15667,20,0
570,85325,30,1
571,70708,5,0
572,20770,16,0
573,50689,6,0
574,13667,16,0
575,68684,1,1
576,86757,4,1
577,70713,15,0
578,13670,15,0
579,70717,11,0
580,05665,18,0
581,23686,11,0
582,05667,28,0
583,05670,28,0
584,47692,16,0
585,18753,22,0
586,68689,31,0
587,47703,16,0
588,52683,4,1
589,47707,16,0
590,05679,28,0
591,47720,3,0
592,13673,15,0
593,05042,28,0
594,27250,25,1
595,68720,1,1
596,73686,26,0
597,47001,3,0
598,15690,20,0
599,13683,15,0
600,19701,10,0
601,66682,2,0
602,05686,28,0
603,13688,31,0
604,99624,30,1
605,19698,24,0
606,54680,9,1
607,05690,28,0
608,08685,15,0
609,66687,2,0
610,81736,9,1
611,54720,9,1
612,25718,7,1
613,05736,5,0
614,76736,2,0
615,25743,7,1
616,68745,1,1
617,13744,5,0
618,70001,11,0
619,27745,2,0
620,47745,15,0
621,68755,1,1
622,15755,14,0
623,08758,15,0
624,18785,22,0
625,05756,26,0
626,05761,28,0
627,13760,15,0
628,52418,4,1
629,68770,1,1
630,41770,10,0
631,19785,24,0
632,70771,5,0
633,17777,26,0
634,19780,24,0
635,73770,7,1
636,85315,14,0
637,27787,12,1
638,13780,16,0
639,20787,16,0
640,81794,14,0
641,52788,4,1
642,97666,8,1
643,91798,13,1
644,05790,5,0
645,41791,10,0
646,85410,20,0
647,41799,10,0
648,47798,3,0
649,54800,9,1
650,41801,22,0
651,41797,10,0
652,15804,20,0
653,54810,9,1
654,23807,18,0
655,41807,10,0
656,19809,24,0
657,19807,24,0
658,13810,16,0
659,25815,7,1
660,54820,9,1
661,70820,11,0
662,19821,24,0
663,19824,24,0
664,85430,14,0
665,76828,2,0
666,08832,15,0
667,23815,11,0
668,76834,2,0
669,52835,4,1
670,13836,15,0
671,13838,15,0
672,05837,18,0
673,85400,14,0
674,25839,20,0
675,27800,18,0
676,05842,23,1
677,50370,6,0
678,44847,19,0
679,05847,23,1
680,44855,19,0
681,08849,15,0
682,05854,5,0
683,23855,18,0
684,68855,1,1
685,73854,7,1
686,86865,4,1
687,20001,19,0
688,18860,22,0
689,05858,28,0
690,73861,7,1
691,05861,28,0
692,25867,7,1
693,05873,23,1
694,76869,25,1
695,54874,9,1
696,86885,4,1
697,73870,26,0
698,13873,15,0
699,44874,19,0
700,85440,30,1
701,50001,6,0
702,41872,10,0
703,50711,6,0
704,25885,17,1
705,41885,10,0
706,05885,28,0
707,05887,28,0
708,05890,28,0
709,05893,31,0
710,85001,20,0
711,76892,25,1
712,13894,3,0
713,68895,31,0
714,47960,3,0
715,05895,5,0
716,15897,20,0
717,54003,16,0
718,15842,20,0
719,25851,17,1
